path,file,depth,category,feature,total,code,comment,blank,exports,importsOut,fanIn,unusedExports,hasClass,hasInterface,markers,isBarrel,god,orphan
shared/defaults/tools.defaults.ts,tools.defaults.ts,3,shared,core,47,37,0,10,24,0,2,0,0,0,0,0,0,0
shared/reliability/retryProfiles.ts,retryProfiles.ts,3,shared,core,41,36,0,5,2,1,1,0,0,0,0,0,0,0
shared/defaults/platform.defaults.ts,platform.defaults.ts,3,shared,platform,37,29,0,8,26,0,1,0,0,0,0,0,0,0
shared/defaults/agent.defaults.ts,agent.defaults.ts,3,shared,core,29,20,0,9,15,0,1,0,0,0,0,0,0,0
shared/defaults/index.ts,index.ts,3,shared,core,10,9,0,1,9,9,43,0,0,0,0,1,0,0
shared/reliability/interpolate.ts,interpolate.ts,3,shared,core,8,6,0,2,1,0,2,0,0,0,0,0,0,0
shared/defaults/observation.defaults.ts,observation.defaults.ts,3,shared,perception,7,5,0,2,5,0,1,0,0,0,0,0,0,0
shared/defaults/plugin.defaults.ts,plugin.defaults.ts,3,shared,plugin,8,5,0,3,3,2,2,0,0,0,0,0,0,0
shared/defaults/persistence.defaults.ts,persistence.defaults.ts,3,shared,persistence,7,4,0,3,4,0,1,0,0,0,0,0,0,0
shared/defaults/compaction.defaults.ts,compaction.defaults.ts,3,shared,core,4,3,0,1,3,0,1,0,0,0,0,0,0,0
shared/defaults/identity.defaults.ts,identity.defaults.ts,3,shared,core,3,2,0,1,2,0,2,0,0,0,0,0,0,0
shared/defaults/logging.defaults.ts,logging.defaults.ts,3,shared,core,3,2,0,1,2,0,1,0,0,0,0,0,0,0
shared/reliability/sleep.ts,sleep.ts,3,shared,core,2,1,0,1,1,0,4,0,0,0,0,0,0,0
tests/e2e/cli/helpers/cli-test-helpers.ts,cli-test-helpers.ts,5,test,core,392,313,10,69,12,5,9,0,0,1,0,0,1,0
tests/e2e/persistence/sqlite-persistence.test.ts,sqlite-persistence.test.ts,4,test,persistence,358,296,12,50,0,11,0,0,0,0,0,0,1,0
tests/e2e/cli/web-features-test.ts,web-features-test.ts,4,test,core,261,228,0,33,0,5,0,0,0,0,0,0,0,1
tests/e2e/tools/recording-and-polling.test.ts,recording-and-polling.test.ts,4,test,tools,310,228,34,48,0,17,0,0,0,0,0,0,0,0
tests/e2e/workflow/workflow-execution.test.ts,workflow-execution.test.ts,4,test,workflow,206,178,0,28,0,12,0,0,0,0,0,0,0,0
tests/e2e/runs/run-suspension.test.ts,run-suspension.test.ts,4,test,run,199,172,0,27,0,19,0,0,0,0,0,0,0,0
tests/e2e/agent/vision-multimodal.test.ts,vision-multimodal.test.ts,4,test,core,199,170,3,26,0,27,0,0,0,0,0,0,0,0
tests/e2e/runs/run-resume.test.ts,run-resume.test.ts,4,test,run,159,138,0,21,0,24,0,0,0,0,0,0,0,0
tests/e2e/cli/counter-scenario-test.ts,counter-scenario-test.ts,4,test,core,226,127,76,23,0,4,0,0,0,0,0,0,0,1
tests/e2e/cli/shell-capability-test.ts,shell-capability-test.ts,4,test,core,201,117,57,27,0,8,0,0,0,0,0,0,0,1
tests/e2e/observation/recall-recent.test.ts,recall-recent.test.ts,4,test,perception,133,116,0,17,0,18,0,0,0,0,0,0,0,0
tests/e2e/runs/suspend-resume-roundtrip.test.ts,suspend-resume-roundtrip.test.ts,4,test,run,127,110,0,17,0,18,0,0,0,0,0,0,0,0
tests/e2e/observation/set-observation-profile.test.ts,set-observation-profile.test.ts,4,test,perception,100,87,0,13,0,18,0,0,0,0,0,0,0,0
tests/e2e/persistence/report-writer.test.ts,report-writer.test.ts,4,test,persistence,108,86,0,22,0,13,0,0,0,0,0,0,0,0
tests/e2e/cli/run-cli-tests.ts,run-cli-tests.ts,4,test,run,105,84,0,21,0,2,0,0,0,0,0,0,0,1
tests/e2e/tools/shell-tool.test.ts,shell-tool.test.ts,4,test,tools,106,82,0,24,0,6,0,0,0,0,0,0,0,0
tests/e2e/cli/electron-test.ts,electron-test.ts,4,test,platform,99,81,1,17,0,2,0,0,0,0,0,0,0,1
tests/e2e/agent/conversation-snapshot.test.ts,conversation-snapshot.test.ts,4,test,core,90,78,0,12,0,4,0,0,0,0,0,0,0,0
tests/e2e/observation/wait-for-change.test.ts,wait-for-change.test.ts,4,test,perception,88,76,0,12,0,18,0,0,0,0,0,0,0,0
tests/e2e/observation/appium-parity.test.ts,appium-parity.test.ts,4,test,perception,84,73,0,11,0,7,0,0,0,0,0,0,0,0
tests/e2e/cli/recording-scenario-test.ts,recording-scenario-test.ts,4,test,core,107,68,28,11,0,4,0,0,0,0,0,0,0,1
tests/e2e/persistence/conversation-snapshot-storage.test.ts,conversation-snapshot-storage.test.ts,4,test,persistence,80,68,0,12,0,6,0,0,0,0,0,0,0,0
tests/e2e/tools/meta-tools.test.ts,meta-tools.test.ts,4,test,tools,77,68,0,9,0,5,0,0,0,0,0,0,0,0
tests/e2e/cli/helpers/capability-scenario-helpers.ts,capability-scenario-helpers.ts,5,test,core,156,67,72,17,3,4,2,0,0,1,0,0,0,0
tests/e2e/runs/suspend-control-gate.test.ts,suspend-control-gate.test.ts,4,test,run,74,65,0,9,0,11,0,0,0,0,0,0,0,0
tests/e2e/plugins/plugin-loader.test.ts,plugin-loader.test.ts,4,test,plugin,84,63,0,21,0,5,0,0,0,0,0,0,0,0
tests/e2e/cli/helpers/web-fixture-server.ts,web-fixture-server.ts,5,test,core,73,61,0,12,2,3,13,0,0,1,0,0,0,0
tests/e2e/observation/playwright-stream.test.ts,playwright-stream.test.ts,4,test,perception,72,61,0,11,0,15,0,0,0,0,0,0,0,0
tests/e2e/workflow/workflow-lifecycle.test.ts,workflow-lifecycle.test.ts,4,test,workflow,70,61,0,9,0,6,0,0,0,0,0,0,0,0
tests/e2e/tools/dom-tools.test.ts,dom-tools.test.ts,4,test,tools,67,54,0,13,0,6,0,0,0,0,0,0,0,0
tests/e2e/persistence/checkpoint-metadata.test.ts,checkpoint-metadata.test.ts,4,test,persistence,58,51,0,7,0,7,0,0,0,0,0,0,0,0
tests/e2e/observation/playwright-sampler.test.ts,playwright-sampler.test.ts,4,test,perception,60,50,0,10,0,12,0,0,0,0,0,0,0,0
tests/e2e/observation/ring-buffer.test.ts,ring-buffer.test.ts,4,test,perception,53,47,0,6,0,4,0,0,0,0,0,0,0,0
tests/e2e/tools/tab-tools.test.ts,tab-tools.test.ts,4,test,tools,53,43,0,10,0,6,0,0,0,0,0,0,0,0
tests/support/llmReplay.ts,llmReplay.ts,3,test,core,48,38,0,10,1,2,1,0,1,0,0,0,0,0
tests/e2e/cli/web-test.ts,web-test.ts,4,test,core,37,30,0,7,0,3,0,0,0,0,0,0,0,1
tests/e2e/workflow/platform-capability.test.ts,platform-capability.test.ts,4,test,workflow,31,24,0,7,0,2,0,0,0,0,0,0,0,0
tests/e2e/cli/cli-smoke.test.ts,cli-smoke.test.ts,4,test,core,25,16,6,3,0,2,0,0,0,0,0,0,0,0
tests/fixtures/plugins/sample-plugin/index.js,index.js,5,test,plugin,16,15,0,1,0,0,0,0,0,0,0,0,0,1
tests/e2e/desktop/ipc-router.test.ts,ipc-router.test.ts,4,test,core,20,12,6,2,0,2,0,0,0,0,0,0,0,0
tests/support/tempDb.ts,tempDb.ts,3,test,core,14,12,0,2,1,6,7,0,0,0,0,0,0,0
tests/fixtures/electron-app/main.cjs,main.cjs,4,test,platform,10,7,0,3,0,2,0,0,0,0,0,0,0,1
tests/fixtures/plugins-escape/escape-plugin/index.js,index.js,5,test,plugin,3,2,0,1,0,1,0,0,0,0,0,0,0,1
tests/fixtures/plugins-bad/bad-plugin/index.js,index.js,5,test,plugin,2,1,0,1,0,0,0,0,0,0,0,0,0,1
